row_norm,k_graph,alpha,conf_threshold,mean_macro_f1,mean_acc,mean_conf_assigned,pct_assigned
standard,20,0.1,0.8,0.12623854018813824,0.24479733069698467,0.965533327177729,0.6781660735853091
standard,20,0.2,0.5,0.1274290163786144,0.247318339100346,0.8519919989670554,0.9497217260788394
standard,20,0.2,0.6,0.1274290163786144,0.247318339100346,0.9050484656234142,0.8064350720594207
standard,20,0.2,0.7,0.1274290163786144,0.247318339100346,0.9342217469288888,0.7246007139478542
standard,20,0.2,0.8,0.1274290163786144,0.247318339100346,0.9591781792047644,0.6405250401931443
standard,20,0.3,0.5,0.1274290163786144,0.247318339100346,0.8411134436404519,0.9365733910541003
standard,20,0.3,0.6,0.1274290163786144,0.247318339100346,0.8931033032557104,0.792534086144918
standard,20,0.3,0.7,0.1274290163786144,0.247318339100346,0.9261550732990363,0.6998816013249892
standard,20,0.3,0.8,0.1274290163786144,0.247318339100346,0.9532831946299245,0.6093190456844507
standard,20,0.5,0.5,0.12930497945004452,0.2520422747103957,0.819421597627647,0.9189613331374301
standard,20,0.5,0.6,0.12930497945004452,0.2520422747103957,0.8759486001160331,0.7546661854104381
standard,20,0.5,0.7,0.12930497945004452,0.2520422747103957,0.91066342067609,0.6572642665038475
standard,20,0.5,0.8,0.12930497945004452,0.2520422747103957,0.9417058244078915,0.5542314013670918
standard,20,0.7,0.5,0.117809955082318,0.24036407401835416,0.798690773446442,0.8929993930005512
standard,20,0.7,0.6,0.117809955082318,0.24036407401835416,0.8596280541481018,0.7093183687754308
standard,20,0.7,0.7,0.117809955082318,0.24036407401835416,0.8962596033837008,0.6048169012394674
standard,20,0.7,0.8,0.117809955082318,0.24036407401835416,0.9342857590115518,0.4852354416871442
standard,25,0.1,0.5,0.1275568086204808,0.2406294998817942,0.877332176581988,0.9165422374979956
standard,25,0.1,0.6,0.1275568086204808,0.2406294998817942,0.9270589612036356,0.794651033392516
standard,25,0.1,0.7,0.1275568086204808,0.2406294998817942,0.950866218284074,0.7334770996302117
standard,25,0.1,0.8,0.1275568086204808,0.2406294998817942,0.9695122189559542,0.6725993195830745
standard,25,0.2,0.5,0.13039490377780555,0.24548614842356375,0.8649693667852644,0.9067898426920294
standard,25,0.2,0.6,0.13039490377780555,0.24548614842356375,0.9159586129257452,0.7792006743848269
standard,25,0.2,0.7,0.13039490377780555,0.24548614842356375,0.940651555176204,0.7142801753397405
standard,25,0.2,0.8,0.13039490377780555,0.24548614842356375,0.9614002663827147,0.6448697677001696
standard,25,0.3,0.5,0.13256242675847735,0.25021008403361344,0.852259198965062,0.898403714178377
standard,25,0.3,0.6,0.13256242675847735,0.25021008403361344,0.9049879175641306,0.7648034500003873
standard,25,0.3,0.7,0.13256242675847735,0.25021008403361344,0.9310039373100771,0.6951427122875744
standard,25,0.3,0.8,0.13256242675847735,0.25021008403361344,0.9546022943842599,0.6161034622629206
standard,25,0.5,0.5,0.1388369631545281,0.2624443895205141,0.8312033756946787,0.8714037514012963
standard,25,0.5,0.6,0.1388369631545281,0.2624443895205141,0.882862475677503,0.7352172279157516
standard,25,0.5,0.7,0.1388369631545281,0.2624443895205141,0.9135682421191681,0.6506074731972332
standard,25,0.5,0.8,0.1388369631545281,0.2624443895205141,0.9440631629703583,0.5498784567206522
standard,25,0.7,0.5,0.13565126610882527,0.25506673257538315,0.8054562355139755,0.8422459036605257
standard,25,0.7,0.6,0.13565126610882527,0.25506673257538315,0.8611407776700699,0.69083177612182
standard,25,0.7,0.7,0.13565126610882527,0.25506673257538315,0.9016139962989517,0.5799042691833164
standard,25,0.7,0.8,0.13565126610882527,0.25506673257538315,0.9375301259033267,0.4704191201138593
standard,30,0.1,0.5,0.12737104230338092,0.24954759397365078,0.8694227863611136,0.9135062914239868
standard,30,0.1,0.6,0.12737104230338092,0.24954759397365078,0.921690911655417,0.7882144459981325
standard,30,0.1,0.7,0.12737104230338092,0.24954759397365078,0.9475831552477288,0.7208794729407938
standard,30,0.1,0.8,0.12737104230338092,0.24954759397365078,0.9670816154496219,0.6571944719616353
