norm,k_graph,alpha,conf_threshold,mean_macro_f1,mean_acc,mean_conf_assigned,pct_assigned
none,50,0.5,0.8,0.14252727701154877,0.27486621246964255,0.9183513677114593,0.4721752100875321
none,50,0.7,0.5,0.15276160184582085,0.29676008510821206,0.7492708125965087,0.8014095375651048
none,50,0.7,0.6,0.15276160184582085,0.29676008510821206,0.8050748302047186,0.6274837755236679
none,50,0.7,0.7,0.15276160184582085,0.29676008510821206,0.8508160180606007,0.48504937974136286
none,50,0.7,0.8,0.15276160184582085,0.29676008510821206,0.8996627218542949,0.32701485667239943
minmax,10,0.1,0.5,0.15718088742242928,0.2902856283178233,0.9048263103951509,0.7866159887933458
minmax,10,0.1,0.6,0.15718088742242928,0.2902856283178233,0.9328100350587332,0.7289249701041381
minmax,10,0.1,0.7,0.15718088742242928,0.2902856283178233,0.9569945108401807,0.6716045032061726
minmax,10,0.1,0.8,0.15718088742242928,0.2902856283178233,0.9737317938954025,0.6203166894207328
minmax,10,0.2,0.5,0.1567446135786276,0.2879236605127985,0.891769795302689,0.8009133697904364
minmax,10,0.2,0.6,0.1567446135786276,0.2879236605127985,0.9224819898314497,0.733845497975968
minmax,10,0.2,0.7,0.1567446135786276,0.2879236605127985,0.947444084686844,0.6721911277534515
minmax,10,0.2,0.8,0.1567446135786276,0.2879236605127985,0.9662079679685709,0.612872367821854
minmax,10,0.3,0.5,0.15566498683679678,0.2902856283178233,0.8823887436681428,0.8108488889312584
minmax,10,0.3,0.6,0.15566498683679678,0.2902856283178233,0.9160455377732944,0.7348363332632445
minmax,10,0.3,0.7,0.15566498683679678,0.2902856283178233,0.9403485685478136,0.672858821437205
minmax,10,0.3,0.8,0.15566498683679678,0.2902856283178233,0.9623389337993213,0.602476893055962
minmax,10,0.5,0.5,0.15389108963281484,0.2882417417094715,0.8627990385639391,0.8079135471367765
minmax,10,0.5,0.6,0.15389108963281484,0.2882417417094715,0.9007175197265685,0.7201643547940814
minmax,10,0.5,0.7,0.15389108963281484,0.2882417417094715,0.9287384051434674,0.6474692590365114
minmax,10,0.5,0.8,0.15389108963281484,0.2882417417094715,0.9561406026225145,0.5610697246320576
minmax,10,0.7,0.5,0.16085405782381126,0.29755797459648825,0.8434479562931264,0.7765348663632903
minmax,10,0.7,0.6,0.16085405782381126,0.29755797459648825,0.8840779647433967,0.6818481705224864
minmax,10,0.7,0.7,0.16085405782381126,0.29755797459648825,0.9202501174067775,0.5900323418805824
minmax,10,0.7,0.8,0.16085405782381126,0.29755797459648825,0.9518453407739722,0.49636674138251397
minmax,15,0.1,0.5,0.18020210246497081,0.31517870575340107,0.8779118166691254,0.8754533060504869
minmax,15,0.1,0.6,0.18020210246497081,0.31517870575340107,0.9198997647996953,0.7762469181144285
minmax,15,0.1,0.7,0.18020210246497081,0.31517870575340107,0.9480009142372604,0.7034175084721451
minmax,15,0.1,0.8,0.18020210246497081,0.31517870575340107,0.9677279962289266,0.6402540225248106
minmax,15,0.2,0.5,0.1803813741736543,0.31517870575340107,0.8634299902974024,0.8613203902634191
minmax,15,0.2,0.6,0.1803813741736543,0.31517870575340107,0.9056145152474963,0.7594685075832096
minmax,15,0.2,0.7,0.1803813741736543,0.31517870575340107,0.9344859320557894,0.6827522280850734
minmax,15,0.2,0.8,0.1803813741736543,0.31517870575340107,0.9574613608139253,0.6075222517973385
minmax,15,0.3,0.5,0.18455950486794573,0.32019439489350726,0.8499986427008986,0.8493265881560822
minmax,15,0.3,0.6,0.18455950486794573,0.32019439489350726,0.8928740919964566,0.7433190312218573
minmax,15,0.3,0.7,0.18455950486794573,0.32019439489350726,0.9246855747574024,0.6574946824957247
minmax,15,0.3,0.8,0.18455950486794573,0.32019439489350726,0.9507866939165178,0.5727698382633277
minmax,15,0.5,0.5,0.18326090170090664,0.3202207225601238,0.8254341745767008,0.8108582248895662
minmax,15,0.5,0.6,0.18326090170090664,0.3202207225601238,0.8718107230044887,0.6941496923778829
minmax,15,0.5,0.7,0.18326090170090664,0.3202207225601238,0.9093612776897008,0.5944317803270189
minmax,15,0.5,0.8,0.18326090170090664,0.3202207225601238,0.9419557608110698,0.4944987631965643
minmax,15,0.7,0.5,0.1830217589932285,0.3225300350319156,0.8006112617251943,0.7602474988199068
minmax,15,0.7,0.6,0.1830217589932285,0.3225300350319156,0.8523662279911929,0.6310345242754765
minmax,15,0.7,0.7,0.1830217589932285,0.3225300350319156,0.8969196568201965,0.5190771386603813
minmax,15,0.7,0.8,0.1830217589932285,0.3225300350319156,0.9341258528699891,0.415464121131827
minmax,20,0.1,0.5,0.19804858404165696,0.32850265425863434,0.8608723215638244,0.8949994588633468
minmax,20,0.1,0.6,0.19804858404165696,0.32850265425863434,0.9089924799963232,0.7771159741018135
minmax,20,0.1,0.7,0.19804858404165696,0.32850265425863434,0.9394539267122878,0.6956324490301542
minmax,20,0.1,0.8,0.19804858404165696,0.32850265425863434,0.9624023429040626,0.6203924642914179
minmax,20,0.2,0.5,0.19877687535818359,0.32850265425863434,0.8446849578896606,0.8750928707108269
minmax,20,0.2,0.6,0.19877687535818359,0.32850265425863434,0.8921428330630684,0.75565735435409
minmax,20,0.2,0.7,0.19877687535818359,0.32850265425863434,0.9235141442657412,0.6692259696275799
minmax,20,0.2,0.8,0.19877687535818359,0.32850265425863434,0.9499091540984868,0.5807544054680208
minmax,20,0.3,0.5,0.19755125553394784,0.32850265425863434,0.829518259039071,0.8557519415445772
minmax,20,0.3,0.6,0.19755125553394784,0.32850265425863434,0.8777334997327019,0.7318330740111721
minmax,20,0.3,0.7,0.19755125553394784,0.32850265425863434,0.9115387985469855,0.6366825325302449
minmax,20,0.3,0.8,0.19755125553394784,0.32850265425863434,0.9395831324379161,0.54263104097272
minmax,20,0.5,0.5,0.19571580835541427,0.3355622300070924,0.8007948002493709,0.8103185723020262
minmax,20,0.5,0.6,0.19571580835541427,0.3355622300070924,0.8507773326019455,0.6781054493405279
minmax,20,0.5,0.7,0.19571580835541427,0.3355622300070924,0.890228493382122,0.5666090786851762
minmax,20,0.5,0.8,0.19571580835541427,0.3355622300070924,0.9265754315735806,0.44885112595795795
minmax,20,0.7,0.5,0.19679712308415676,0.3379505254787337,0.7731368948371449,0.7440079306651631
minmax,20,0.7,0.6,0.19679712308415676,0.3379505254787337,0.8253936982253531,0.6040598606282942
minmax,20,0.7,0.7,0.19679712308415676,0.3379505254787337,0.8724072212581039,0.4768347507020665
minmax,20,0.7,0.8,0.19679712308415676,0.3379505254787337,0.9148037688470204,0.35306247538912755
minmax,30,0.1,0.5,0.20247608605776737,0.31926755356874204,0.8558422288144215,0.913479010589224
minmax,30,0.1,0.6,0.20247608605776737,0.31926755356874204,0.9037336404157812,0.7911761521910169
minmax,30,0.1,0.7,0.20247608605776737,0.31926755356874204,0.9360223654895167,0.7020453461166168
minmax,30,0.1,0.8,0.20247608605776737,0.31926755356874204,0.9619960975790334,0.61529228184353
minmax,30,0.2,0.5,0.20266784131007623,0.31926755356874204,0.8384506069543369,0.8951434444298569
minmax,30,0.2,0.6,0.20266784131007623,0.31926755356874204,0.8859356634150409,0.7704422877874918
minmax,30,0.2,0.7,0.20266784131007623,0.31926755356874204,0.920558229848985,0.6725865108990533
